"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2020","14,993.76","14,800.38","15,043.93","14,717.19","","1.60%"
"04/15/2020","14,757.68","15,060.77","15,280.77","14,577.30","","-0.09%"
"04/13/2020","14,770.31","14,781.91","15,024.51","14,575.74","","1.49%"
"04/09/2020","14,553.34","14,491.58","14,820.13","14,474.06","","3.78%"
"04/08/2020","14,023.83","13,641.60","14,289.35","13,494.82","","3.85%"
"04/07/2020","13,504.01","12,944.28","13,545.37","12,775.81","","8.95%"
"04/03/2020","12,394.97","11,974.11","12,500.68","11,878.39","","3.56%"
"04/01/2020","11,969.45","12,271.45","12,271.45","11,920.80","","-1.47%"
"03/31/2020","12,148.57","11,992.18","12,195.65","11,883.16","","3.36%"
"03/30/2020","11,753.37","11,660.75","11,821.79","11,460.88","","1.07%"
"03/27/2020","11,628.78","11,821.09","11,988.15","11,475.54","","0.18%"
"03/26/2020","11,607.39","11,602.49","11,853.42","11,511.06","","1.55%"
"03/25/2020","11,430.03","11,278.19","11,497.25","11,189.74","","1.47%"
"03/24/2020","11,264.24","11,244.24","11,582.72","11,093.93","","2.33%"
"03/23/2020","11,007.36","11,637.36","11,753.18","10,947.99","","-8.21%"
"03/20/2020","11,992.04","11,610.76","12,166.14","11,546.47","","5.22%"
"03/19/2020","11,397.25","11,440.66","11,672.63","10,982.21","","-1.82%"
"03/18/2020","11,608.36","12,357.67","12,440.53","11,558.95","","-4.66%"
"03/17/2020","12,175.16","12,213.08","12,547.97","12,115.03","","-0.03%"
"03/16/2020","12,178.59","12,550.32","12,783.01","12,122.19","","-3.92%"
"03/13/2020","12,675.33","11,870.03","12,898.72","11,235.37","","3.47%"
"03/12/2020","12,249.89","13,190.63","13,190.63","12,173.87","","-8.29%"
"03/11/2020","13,356.49","13,544.98","13,600.04","13,322.58","","-1.10%"
"03/09/2020","13,505.03","13,887.69","13,890.80","13,371.14","","-3.31%"
"03/06/2020","13,968.00","13,896.89","14,003.58","13,757.58","","-1.25%"
"03/05/2020","14,145.20","14,117.72","14,315.67","14,112.83","","0.46%"
"03/04/2020","14,080.49","13,984.92","14,172.87","13,840.72","","1.13%"
"03/03/2020","13,922.83","13,483.29","13,976.36","13,483.29","","3.77%"
"03/02/2020","13,417.10","13,606.57","13,773.56","13,341.18","","-0.47%"
"02/28/2020","13,480.10","13,800.61","13,800.72","13,468.47","","-3.28%"
"02/27/2020","13,936.86","13,912.47","13,952.41","13,753.98","","0.20%"
"02/26/2020","13,908.64","14,003.78","14,045.06","13,887.20","","-0.92%"
"02/25/2020","14,037.95","14,272.37","14,289.67","13,974.60","","-1.18%"
"02/24/2020","14,205.73","14,447.31","14,467.66","14,173.07","","-2.27%"
"02/20/2020","14,535.10","14,552.75","14,663.74","14,506.95","","0.23%"
"02/19/2020","14,501.72","14,279.77","14,515.57","14,279.59","","2.12%"
"02/18/2020","14,200.46","14,181.29","14,216.43","13,990.32","","0.01%"
"02/17/2020","14,198.79","14,460.66","14,482.70","14,180.79","","-1.50%"
"02/14/2020","14,415.00","14,449.72","14,529.81","14,394.09","","-0.22%"
