"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2015","6,343.71","6,407.68","6,418.07","6,332.23","7.35K","-0.77%"
"03/17/2015","6,392.79","6,413.40","6,439.55","6,351.37","7.38K","-0.16%"
"03/16/2015","6,402.97","6,372.43","6,436.34","6,366.18","8.70K","0.52%"
"03/13/2015","6,370.01","6,449.18","6,454.74","6,344.48","12.43K","-0.72%"
"03/12/2015","6,416.26","6,368.63","6,424.33","6,347.51","12.53K","1.04%"
"03/11/2015","6,350.25","6,320.66","6,408.63","6,320.66","12.19K","0.40%"
"03/10/2015","6,324.85","6,282.26","6,355.41","6,234.49","9.53K","0.78%"
"03/09/2015","6,276.18","6,367.78","6,367.78","6,252.12","11.87K","-1.92%"
"03/05/2015","6,398.89","6,443.56","6,479.03","6,371.13","5.58K","-0.61%"
"03/04/2015","6,437.91","6,496.20","6,521.31","6,399.12","10.70K","-0.81%"
"03/03/2015","6,490.60","6,409.17","6,506.77","6,390.20","10.38K","1.27%"
"03/02/2015","6,409.10","6,435.22","6,452.20","6,388.47","6.45K","-0.23%"
"02/28/2015","6,423.88","6,401.22","6,444.42","6,356.52","7.10K","0.53%"
"02/27/2015","6,390.12","6,357.67","6,397.87","6,329.04","5.75K","0.81%"
"02/26/2015","6,338.49","6,414.15","6,414.15","6,319.24","41.00K","-1.21%"
"02/25/2015","6,415.96","6,416.96","6,447.94","6,399.05","6.73K","0.47%"
"02/24/2015","6,386.17","6,376.90","6,414.13","6,359.21","15.18K","0.23%"
"02/23/2015","6,371.50","6,421.36","6,457.63","6,353.00","5.54K","-0.39%"
"02/20/2015","6,396.25","6,467.93","6,480.15","6,385.03","7.40K","-1.21%"
"02/19/2015","6,474.52","6,469.69","6,483.55","6,439.23","8.18K","0.59%"
"02/18/2015","6,436.83","6,404.68","6,445.99","6,362.19","8.42K","0.66%"
"02/16/2015","6,394.55","6,369.10","6,421.21","6,363.82","6.16K","0.37%"
"02/13/2015","6,371.14","6,320.61","6,383.23","6,309.07","7.56K","0.69%"
"02/12/2015","6,327.25","6,270.51","6,335.20","6,267.97","10.13K","0.99%"
"02/11/2015","6,264.93","6,244.52","6,283.81","6,219.81","6.39K","0.50%"
"02/10/2015","6,233.82","6,259.55","6,289.06","6,220.55","7.76K","-0.65%"
"02/09/2015","6,274.33","6,300.50","6,303.05","6,239.60","8.46K","-0.46%"
"02/06/2015","6,303.58","6,263.41","6,354.48","6,263.02","7.02K","0.74%"
"02/05/2015","6,257.36","6,178.29","6,329.34","6,178.28","8.91K","1.34%"
"02/04/2015","6,174.86","6,207.53","6,230.51","6,169.10","8.61K","-0.31%"
"02/03/2015","6,194.21","6,180.88","6,207.46","6,136.91","7.90K","0.39%"
"02/02/2015","6,170.30","6,154.59","6,192.14","6,145.55","6.70K","0.55%"
"01/30/2015","6,136.48","6,217.52","6,234.12","6,129.13","7.76K","-0.17%"
"01/29/2015","6,147.01","6,144.86","6,164.88","6,101.21","7.04K","-0.11%"
"01/28/2015","6,154.08","6,150.43","6,193.46","6,128.46","7.63K","0.28%"
"01/27/2015","6,137.12","6,212.69","6,212.89","6,120.57","7.64K","-1.07%"
"01/23/2015","6,203.40","6,174.39","6,216.17","6,144.04","13.27K","0.72%"
"01/22/2015","6,158.76","6,143.22","6,177.86","6,122.14","9.67K","0.42%"
"01/21/2015","6,133.02","6,074.50","6,145.25","6,067.33","13.78K","1.17%"
"01/20/2015","6,062.16","6,045.04","6,074.66","6,023.86","16.15K","0.63%"
"01/19/2015","6,024.17","6,038.79","6,077.34","6,015.64","10.97K","0.25%"
"01/16/2015","6,009.09","6,014.87","6,021.81","5,967.35","14.88K","-0.07%"
"01/15/2015","6,013.59","6,009.61","6,060.90","5,969.25","13.22K","0.68%"
"01/14/2015","5,973.14","5,938.40","5,981.55","5,927.43","10.17K","0.80%"
"01/13/2015","5,925.78","5,958.68","5,958.68","5,897.92","8.03K","-0.45%"
"01/12/2015","5,952.47","5,921.02","5,962.49","5,877.55","7.91K","0.91%"
