"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2013","2,330.00","2,333.35","2,346.10","2,320.55","","0.90%"
"06/26/2013","2,309.30","2,321.60","2,325.50","2,299.90","","-0.45%"
"06/25/2013","2,319.85","2,315.10","2,331.05","2,290.40","","0.34%"
"06/24/2013","2,312.00","2,349.50","2,352.95","2,308.45","","-1.97%"
"06/21/2013","2,358.50","2,349.90","2,376.00","2,343.80","","0.01%"
"06/20/2013","2,358.15","2,380.60","2,380.60","2,355.80","","-1.93%"
"06/19/2013","2,404.65","2,386.55","2,408.10","2,386.55","","0.56%"
"06/18/2013","2,391.30","2,387.15","2,405.20","2,382.85","","0.23%"
"06/17/2013","2,385.90","2,355.90","2,388.40","2,347.25","","1.61%"
"06/14/2013","2,348.00","2,323.25","2,350.75","2,323.25","","1.65%"
"06/13/2013","2,309.95","2,311.85","2,325.95","2,303.80","","-0.87%"
"06/12/2013","2,330.25","2,353.45","2,353.45","2,314.90","","-1.37%"
"06/11/2013","2,362.50","2,396.80","2,400.25","2,358.00","","-1.84%"
"06/10/2013","2,406.85","2,430.10","2,436.65","2,399.90","","-0.57%"
"06/07/2013","2,420.60","2,444.75","2,453.30","2,418.55","","-1.13%"
"06/06/2013","2,448.30","2,448.15","2,457.75","2,437.10","","-0.46%"
"06/05/2013","2,459.60","2,459.85","2,462.30","2,450.00","","-0.19%"
"06/04/2013","2,464.30","2,450.70","2,473.75","2,450.70","","0.70%"
"06/03/2013","2,447.20","2,454.70","2,455.85","2,433.95","","-0.43%"
"05/31/2013","2,457.85","2,481.15","2,482.85","2,453.05","","-1.15%"
"05/30/2013","2,486.45","2,458.90","2,489.55","2,458.90","","0.62%"
"05/29/2013","2,471.25","2,471.90","2,476.75","2,460.25","","0.04%"
"05/28/2013","2,470.25","2,455.20","2,473.85","2,448.00","","0.70%"
"05/27/2013","2,453.20","2,432.20","2,455.05","2,424.90","","1.08%"
"05/24/2013","2,427.00","2,426.85","2,432.65","2,400.65","","0.58%"
"05/23/2013","2,412.95","2,437.70","2,442.55","2,397.20","","-1.61%"
"05/22/2013","2,452.40","2,454.65","2,466.65","2,444.90","","0.18%"
"05/21/2013","2,447.90","2,460.60","2,468.20","2,444.50","","-0.61%"
"05/20/2013","2,462.95","2,479.45","2,494.35","2,459.00","","-0.53%"
"05/17/2013","2,476.10","2,474.10","2,483.25","2,465.55","","0.06%"
"05/16/2013","2,474.50","2,472.10","2,492.10","2,470.60","","-0.10%"
"05/15/2013","2,477.10","2,444.65","2,482.10","2,444.65","","1.58%"
"05/14/2013","2,438.60","2,433.75","2,439.80","2,425.75","","0.31%"
"05/13/2013","2,431.00","2,467.10","2,470.55","2,429.15","","-1.62%"
"05/11/2013","2,471.15","2,458.55","2,474.10","2,458.55","6.24M","0.32%"
"05/10/2013","2,463.20","2,437.15","2,464.85","2,437.15","","1.05%"
"05/09/2013","2,437.60","2,450.60","2,458.55","2,435.20","","-0.53%"
"05/08/2013","2,450.60","2,465.15","2,465.55","2,446.45","","-0.32%"
"05/07/2013","2,458.40","2,435.30","2,461.25","2,431.75","","1.19%"
"05/06/2013","2,429.60","2,414.30","2,431.30","2,414.30","","0.69%"
"05/03/2013","2,412.85","2,422.25","2,425.65","2,404.50","","-0.22%"
"05/02/2013","2,418.20","2,381.70","2,428.95","2,381.15","","0.91%"
"04/30/2013","2,396.40","2,372.80","2,398.65","2,372.80","","2.32%"
"04/29/2013","2,342.10","2,311.15","2,345.35","2,311.15","","1.53%"
"04/26/2013","2,306.85","2,300.25","2,318.15","2,297.30","","0.41%"
"04/25/2013","2,297.40","2,279.55","2,301.20","2,277.90","","1.17%"
"04/23/2013","2,270.80","2,276.00","2,276.00","2,259.90","","-0.14%"
"04/22/2013","2,274.05","2,261.15","2,275.00","2,258.15","","0.83%"
"04/18/2013","2,255.30","2,224.35","2,258.40","2,224.35","","1.23%"
"04/17/2013","2,227.80","2,209.45","2,236.00","2,209.45","","0.89%"
"04/16/2013","2,208.05","2,167.80","2,210.40","2,165.30","","1.88%"
"04/15/2013","2,167.40","2,160.20","2,178.90","2,158.10","","0.00%"
"04/12/2013","2,167.30","2,146.10","2,173.65","2,145.55","","0.53%"
"04/11/2013","2,155.85","2,162.20","2,164.15","2,140.30","","0.01%"
